질병,식사시간,추천식단,권장,제한
고혈압,아침,현미밥과 닭가슴살 구이,"저염식품, 과일, 채소, 통곡물, 저지방 유제품, 생선","소금, 가공식품, 절임식품, 인스턴트 식품, 짠 음식, 알코올"
고혈압,점심,저염 된장국,"저염식품, 과일, 채소, 통곡물, 저지방 유제품, 생선","소금, 가공식품, 절임식품, 인스턴트 식품, 짠 음식, 알코올"
고혈압,저녁,찐 채소,"저염식품, 과일, 채소, 통곡물, 저지방 유제품, 생선","소금, 가공식품, 절임식품, 인스턴트 식품, 짠 음식, 알코올"
고혈압,아침,과일 샐러드,"저염식품, 과일, 채소, 통곡물, 저지방 유제품, 생선","소금, 가공식품, 절임식품, 인스턴트 식품, 짠 음식, 알코올"
고혈압,점심,고구마 죽,"저염식품, 과일, 채소, 통곡물, 저지방 유제품, 생선","소금, 가공식품, 절임식품, 인스턴트 식품, 짠 음식, 알코올"
당뇨,아침,잡곡밥,"저GI 식품, 통곡물, 섬유질 풍부한 채소, 단백질, 건강한 지방","설탕, 정제된 탄수화물, 가공식품, 과자류, 탄산음료, 과일주스"
당뇨,점심,두부 샐러드,"저GI 식품, 통곡물, 섬유질 풍부한 채소, 단백질, 건강한 지방","설탕, 정제된 탄수화물, 가공식품, 과자류, 탄산음료, 과일주스"
당뇨,저녁,브로콜리 볶음,"저GI 식품, 통곡물, 섬유질 풍부한 채소, 단백질, 건강한 지방","설탕, 정제된 탄수화물, 가공식품, 과자류, 탄산음료, 과일주스"
당뇨,아침,계란찜,"저GI 식품, 통곡물, 섬유질 풍부한 채소, 단백질, 건강한 지방","설탕, 정제된 탄수화물, 가공식품, 과자류, 탄산음료, 과일주스"
당뇨,점심,오이무침,"저GI 식품, 통곡물, 섬유질 풍부한 채소, 단백질, 건강한 지방","설탕, 정제된 탄수화물, 가공식품, 과자류, 탄산음료, 과일주스"
당뇨,저녁,소고기 채소볶음,"저GI 식품, 통곡물, 섬유질 풍부한 채소, 단백질, 건강한 지방","설탕, 정제된 탄수화물, 가공식품, 과자류, 탄산음료, 과일주스"
심장질환,아침,연어구이,"오메가3 지방산, 채소, 과일, 통곡물, 콩류, 견과류","포화지방, 트랜스지방, 튀긴 음식, 가공육, 소금, 설탕"
심장질환,점심,아보카도 샐러드,"오메가3 지방산, 채소, 과일, 통곡물, 콩류, 견과류","포화지방, 트랜스지방, 튀긴 음식, 가공육, 소금, 설탕"
심장질환,저녁,통밀빵,"오메가3 지방산, 채소, 과일, 통곡물, 콩류, 견과류","포화지방, 트랜스지방, 튀긴 음식, 가공육, 소금, 설탕"
심장질환,아침,견과류 믹스,"오메가3 지방산, 채소, 과일, 통곡물, 콩류, 견과류","포화지방, 트랜스지방, 튀긴 음식, 가공육, 소금, 설탕"
심장질환,점심,오트밀,"오메가3 지방산, 채소, 과일, 통곡물, 콩류, 견과류","포화지방, 트랜스지방, 튀긴 음식, 가공육, 소금, 설탕"
심장질환,저녁,그린 스무디,"오메가3 지방산, 채소, 과일, 통곡물, 콩류, 견과류","포화지방, 트랜스지방, 튀긴 음식, 가공육, 소금, 설탕"
위염,아침,흰죽,"부드러운 음식, 저자극 식품, 요구르트, 바나나, 흰밥, 찐 야채","매운 음식, 알코올, 커피, 탄산음료, 지방이 많은 음식, 산성 식품"
위염,점심,찐 고구마,"부드러운 음식, 저자극 식품, 요구르트, 바나나, 흰밥, 찐 야채","매운 음식, 알코올, 커피, 탄산음료, 지방이 많은 음식, 산성 식품"
위염,저녁,두부찜,"부드러운 음식, 저자극 식품, 요구르트, 바나나, 흰밥, 찐 야채","매운 음식, 알코올, 커피, 탄산음료, 지방이 많은 음식, 산성 식품"
위염,아침,생선찜,"부드러운 음식, 저자극 식품, 요구르트, 바나나, 흰밥, 찐 야채","매운 음식, 알코올, 커피, 탄산음료, 지방이 많은 음식, 산성 식품"
위염,점심,야채스프,"부드러운 음식, 저자극 식품, 요구르트, 바나나, 흰밥, 찐 야채","매운 음식, 알코올, 커피, 탄산음료, 지방이 많은 음식, 산성 식품"
위염,저녁,바나나,"부드러운 음식, 저자극 식품, 요구르트, 바나나, 흰밥, 찐 야채","매운 음식, 알코올, 커피, 탄산음료, 지방이 많은 음식, 산성 식품"
위염,아침,요구르트,"부드러운 음식, 저자극 식품, 요구르트, 바나나, 흰밥, 찐 야채","매운 음식, 알코올, 커피, 탄산음료, 지방이 많은 음식, 산성 식품"
간질환,아침,두부된장국,"단백질 적절한 식품, 채소, 과일, 통곡물, 저염식","알코올, 가공식품, 지방이 많은 음식, 튀긴 음식, 소금, 가공육"
간질환,점심,찐 야채,"단백질 적절한 식품, 채소, 과일, 통곡물, 저염식","알코올, 가공식품, 지방이 많은 음식, 튀긴 음식, 소금, 가공육"
간질환,저녁,현미밥,"단백질 적절한 식품, 채소, 과일, 통곡물, 저염식","알코올, 가공식품, 지방이 많은 음식, 튀긴 음식, 소금, 가공육"
간질환,아침,생선구이,"단백질 적절한 식품, 채소, 과일, 통곡물, 저염식","알코올, 가공식품, 지방이 많은 음식, 튀긴 음식, 소금, 가공육"
간질환,점심,채소 스프,"단백질 적절한 식품, 채소, 과일, 통곡물, 저염식","알코올, 가공식품, 지방이 많은 음식, 튀긴 음식, 소금, 가공육"
간질환,저녁,과일 샐러드,"단백질 적절한 식품, 채소, 과일, 통곡물, 저염식","알코올, 가공식품, 지방이 많은 음식, 튀긴 음식, 소금, 가공육"
신장질환,아침,흰쌀밥,"저단백, 저인산, 저칼륨 식품, 좋은 지방, 복합 탄수화물","단백질 과다 식품, 인산염 풍부 음식, 칼륨 높은 과일/채소, 가공식품, 소금"
