question,answer
ISA 계좌란 무엇인가요?,"ISA는 다양한 금융 상품을 하나의 계좌에서 운용할 수 있는 통합계좌로, 절세 혜택이 있습니다."
예금과 적금의 차이는 무엇인가요?,"예금은 목돈을 한 번에 맡기는 것이고, 적금은 일정 금액을 정기적으로 저축하는 상품입니다."
ETF란 무엇인가요?,"ETF는 특정 지수를 추종하는 인덱스 펀드로, 주식처럼 거래할 수 있습니다."
신용카드와 체크카드의 차이는?,"신용카드는 나중에 결제되며, 체크카드는 사용 즉시 계좌에서 출금됩니다."
신용점수는 무엇이며 왜 중요한가요?,"신용점수는 금융 신뢰도를 나타내며, 대출 승인과 금리에 영향을 줍니다."
적금 금리는 어떻게 계산되나요?,"적금 금리는 월 납입 금액과 기간, 이자율을 기준으로 단리 또는 복리로 계산됩니다."
펀드는 무엇인가요?,"펀드는 여러 투자자의 자금을 모아 전문가가 주식, 채권 등에 투자하는 금융 상품입니다."
주식 투자는 어떻게 시작하나요?,"증권 계좌를 개설하고, 주식 종목을 선택해 거래 앱이나 홈페이지를 통해 투자할 수 있습니다."
비상금 통장은 어떤 건가요?,비상금 통장은 갑작스러운 지출에 대비해 일정 금액을 예치하는 용도의 통장입니다.
대출 이자는 어떻게 계산되나요?,"대출 이자는 원금과 이율, 기간에 따라 산정되며, 원리금균등, 원금균등 등의 방식이 있습니다."
